2022-07-19T15:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061621.6125447 7001289F:109:CB97UANXX:1:1312:19338:13179/2	R2	-	-	+	-	-	0.302752
ERR2061621.6125448 7001289F:109:CB97UANXX:1:2301:10113:11095/1	R1	+	-	-	-	0.302752	-
ERR2061621.6125449 7001289F:109:CB97UANXX:1:2304:19637:92338/2	R2	-	-	+	-	-	0.302752
ERR2061621.6125450 7001289F:109:CB97UANXX:1:2308:16081:57590/1	R1	+	-	-	-	0.302752	-
ERR2061621.6125451 7001289F:109:CB97UANXX:1:2101:14430:75911/1	R1	-	+	+	-	0.106195	0.302752
ERR2061621.6125452 7001289F:109:CB97UANXX:1:1102:15444:12179/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125453 7001289F:109:CB97UANXX:1:1108:13456:70343/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125454 7001289F:109:CB97UANXX:1:2214:15935:19306/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125455 7001289F:109:CB97UANXX:1:2101:5827:61278/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125456 7001289F:109:CB97UANXX:1:1210:7382:55794/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125457 7001289F:109:CB97UANXX:1:1211:14786:70661/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125458 7001289F:109:CB97UANXX:1:1110:10889:72137/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125459 7001289F:109:CB97UANXX:1:2301:19626:36807/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125460 7001289F:109:CB97UANXX:1:1112:11095:17041/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125461 7001289F:109:CB97UANXX:1:2316:7942:30863/1	R1	-	+	+	-	0.000000	0.000000
ERR2061621.6125462 7001289F:109:CB97UANXX:1:1102:9397:83589/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125463 7001289F:109:CB97UANXX:1:1106:20180:67632/2	R2	-	-	+	-	-	0.457944
