2024-12-30T14:57:11
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.8861821 7001289F:109:CB97UANXX:2:1211:21139:98601/1	R1	+	-	+	-	0.052083	0.052083
ERR2061624.8861823 7001289F:109:CB97UANXX:2:1206:19798:40490/1	R1	+	-	+	-	0.515789	0.515789
ERR2061624.8861824 7001289F:109:CB97UANXX:2:1105:6756:22860/1	R1	+	-	+	-	0.544554	0.544554
ERR2061624.8861827 7001289F:109:CB97UANXX:2:1108:2055:61621/1	R1	+	-	+	-	0.514019	0.514019
ERR2061624.8861829 7001289F:109:CB97UANXX:2:2303:16671:79086/1	R1	+	-	+	-	0.515789	0.515789
ERR2061624.8861831 7001289F:109:CB97UANXX:2:2312:13929:80604/1	R1	+	-	+	-	0.924528	0.924528
ERR2061624.8861834 7001289F:109:CB97UANXX:2:2311:13239:87399/1	R1	+	-	+	-	0.500000	0.500000
ERR2061624.8861836 7001289F:109:CB97UANXX:2:1314:18375:91975/1	R1	+	-	+	-	0.339450	0.339450
ERR2061624.8861838 7001289F:109:CB97UANXX:2:2209:16146:37051/1	R1	+	-	+	-	0.362637	0.362637
ERR2061624.8861839 7001289F:109:CB97UANXX:2:2101:19466:22365/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861844 7001289F:109:CB97UANXX:2:1301:9993:49509/1	R1	+	-	+	-	0.879518	0.879518
ERR2061624.8861845 7001289F:109:CB97UANXX:2:2206:9555:44959/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861852 7001289F:109:CB97UANXX:2:1216:12509:84517/1	R1	-	+	-	+	0.049180	0.049180
ERR2061624.8861853 7001289F:109:CB97UANXX:2:1116:13138:17294/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861854 7001289F:109:CB97UANXX:2:2305:5062:15455/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861857 7001289F:109:CB97UANXX:2:1302:1460:20163/1	R1	+	-	+	-	0.800000	0.800000
ERR2061624.8861858 7001289F:109:CB97UANXX:2:1304:2401:11887/1	R1	+	-	+	-	0.545455	0.545455
ERR2061624.8861859 7001289F:109:CB97UANXX:2:1212:12940:16160/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861862 7001289F:109:CB97UANXX:2:1216:2273:50439/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861864 7001289F:109:CB97UANXX:2:1107:3540:77830/1	R1	+	-	+	-	0.576923	0.576923
ERR2061624.8861868 7001289F:109:CB97UANXX:2:1315:19734:69851/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861869 7001289F:109:CB97UANXX:2:1315:2902:99948/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861870 7001289F:109:CB97UANXX:2:2201:15048:87453/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861874 7001289F:109:CB97UANXX:2:1201:8173:81322/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861876 7001289F:109:CB97UANXX:2:1206:15843:44272/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861877 7001289F:109:CB97UANXX:2:1102:18908:90195/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861879 7001289F:109:CB97UANXX:2:2213:2519:52111/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861880 7001289F:109:CB97UANXX:2:2313:13015:83391/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861881 7001289F:109:CB97UANXX:2:2314:9834:47622/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861882 7001289F:109:CB97UANXX:2:2315:12609:54535/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861883 7001289F:109:CB97UANXX:2:2112:13685:3531/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861885 7001289F:109:CB97UANXX:2:2106:10035:10073/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861887 7001289F:109:CB97UANXX:2:1306:9277:6236/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861888 7001289F:109:CB97UANXX:2:1212:2610:78410/1	R1	+	-	+	-	0.485149	0.485149
ERR2061624.8861892 7001289F:109:CB97UANXX:2:1216:10740:17241/1	R1	+	-	+	-	0.875000	0.875000
ERR2061624.8861894 7001289F:109:CB97UANXX:2:2210:8622:35969/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861897 7001289F:109:CB97UANXX:2:1105:18717:69151/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861898 7001289F:109:CB97UANXX:2:2212:9572:31670/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861899 7001289F:109:CB97UANXX:2:2212:5960:59857/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861901 7001289F:109:CB97UANXX:2:2314:14841:55229/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861902 7001289F:109:CB97UANXX:2:2314:11321:85360/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861903 7001289F:109:CB97UANXX:2:2314:1983:89085/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861904 7001289F:109:CB97UANXX:2:1215:11271:2514/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861905 7001289F:109:CB97UANXX:2:2202:4645:91671/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861906 7001289F:109:CB97UANXX:2:2204:2938:48132/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861907 7001289F:109:CB97UANXX:2:2201:21015:21690/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861909 7001289F:109:CB97UANXX:2:2101:2167:2069/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861910 7001289F:109:CB97UANXX:2:2101:8708:38821/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861914 7001289F:109:CB97UANXX:2:1104:13609:54967/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861916 7001289F:109:CB97UANXX:2:2303:19272:92705/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861918 7001289F:109:CB97UANXX:2:2304:18316:98360/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861919 7001289F:109:CB97UANXX:2:1101:6595:18077/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861921 7001289F:109:CB97UANXX:2:1113:1441:59921/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861922 7001289F:109:CB97UANXX:2:1113:4749:86339/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861923 7001289F:109:CB97UANXX:2:2101:8986:99794/1	R1	+	-	+	-	0.345455	0.345455
ERR2061624.8861925 7001289F:109:CB97UANXX:2:1102:15503:42822/1	R1	+	-	+	-	0.605505	0.605505
ERR2061624.8861926 7001289F:109:CB97UANXX:2:2315:20663:30755/1	R1	+	-	+	-	0.320388	0.320388
ERR2061624.8861927 7001289F:109:CB97UANXX:2:2307:11653:32809/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861929 7001289F:109:CB97UANXX:2:1105:11549:59419/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861930 7001289F:109:CB97UANXX:2:2213:3845:95189/1	R1	+	-	+	-	0.000000	0.000000
