2022-07-14T09:07:58
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061620.7209466 7001289F:103:C9WFLANXX:4:2316:3535:29808/1	R1	+	-	-	+	0.340206	0.000000
ERR2061620.7209469 7001289F:109:CB97UANXX:1:2111:15377:80222/1	R1	-	+	-	-	0.000000	-
ERR2061620.7209471 7001289F:109:CB97UANXX:1:2209:11588:45823/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209473 7001289F:109:CB97UANXX:1:1204:11147:89737/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209476 7001289F:109:CB97UANXX:1:2310:9307:73323/1	R1	-	+	+	-	0.087500	0.000000
ERR2061620.7209477 7001289F:109:CB97UANXX:1:1214:18326:71821/1	R1	-	+	+	-	0.064516	0.417722
ERR2061620.7209479 7001289F:109:CB97UANXX:1:2106:11586:2743/1	R1	+	-	-	+	0.609756	0.000000
ERR2061620.7209482 7001289F:109:CB97UANXX:1:2308:1886:48980/1	R1	-	+	+	-	0.116667	0.862069
ERR2061620.7209483 7001289F:109:CB97UANXX:1:1315:5006:76454/1	R1	-	+	+	-	0.333333	0.927273
ERR2061620.7209484 7001289F:109:CB97UANXX:1:1205:6330:20030/1	R1	+	-	-	+	0.000000	0.000000
ERR2061620.7209489 7001289F:103:C9WFLANXX:3:2207:7862:92087/1	R1	+	-	-	-	0.540984	-
ERR2061620.7209490 7001289F:103:C9WFLANXX:3:1206:8475:49736/1	R1	+	-	-	+	0.000000	0.000000
ERR2061620.7209491 7001289F:103:C9WFLANXX:4:1107:16007:60680/1	R1	+	-	-	-	0.825000	-
ERR2061620.7209493 7001289F:103:C9WFLANXX:4:1313:17113:29648/1	R1	-	+	-	-	0.000000	-
ERR2061620.7209495 7001289F:109:CB97UANXX:1:2312:15856:10392/1	R1	+	-	-	+	0.904762	0.883721
ERR2061620.7209498 7001289F:109:CB97UANXX:1:1214:18781:24036/1	R1	-	+	+	-	0.116667	0.862069
ERR2061620.7209501 7001289F:103:C9WFLANXX:3:1106:15278:4506/1	R1	-	+	-	-	0.216216	-
ERR2061620.7209502 7001289F:109:CB97UANXX:1:2310:5077:69753/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209503 7001289F:109:CB97UANXX:1:1311:15049:89039/1	R1	-	+	+	-	0.140000	0.000000
ERR2061620.7209504 7001289F:109:CB97UANXX:1:1315:20848:87837/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209505 7001289F:109:CB97UANXX:1:2102:3747:69033/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209510 7001289F:109:CB97UANXX:1:1207:19241:9823/1	R1	+	-	-	-	0.863636	-
ERR2061620.7209511 7001289F:109:CB97UANXX:1:2210:2774:92510/2	R2	-	-	-	+	-	0.000000
ERR2061620.7209513 7001289F:103:C9WFLANXX:4:1115:12758:21654/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209514 7001289F:109:CB97UANXX:1:2112:16932:56604/2	R2	-	-	+	-	-	0.721519
ERR2061620.7209515 7001289F:109:CB97UANXX:1:1211:6407:51201/2	R2	-	-	+	-	-	0.756757
ERR2061620.7209519 7001289F:109:CB97UANXX:1:1212:5205:63620/1	R1	-	+	-	-	0.222222	-
ERR2061620.7209520 7001289F:103:C9WFLANXX:3:2210:18410:14028/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209521 7001289F:103:C9WFLANXX:3:2308:1594:10515/2	R2	-	-	+	-	-	0.055556
ERR2061620.7209522 7001289F:103:C9WFLANXX:4:2110:20806:18024/1	R1	+	-	-	-	0.820896	-
ERR2061620.7209523 7001289F:109:CB97UANXX:1:2212:2877:17014/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209524 7001289F:109:CB97UANXX:1:2115:18598:65434/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209525 7001289F:109:CB97UANXX:1:1201:6039:59839/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209526 7001289F:103:C9WFLANXX:3:2109:11007:48260/2	R2	-	-	+	-	-	0.485149
ERR2061620.7209527 7001289F:103:C9WFLANXX:3:1315:15083:61977/1	R1	+	-	-	-	0.485149	-
ERR2061620.7209528 7001289F:103:C9WFLANXX:4:1316:11751:17163/1	R1	+	-	-	-	0.485149	-
ERR2061620.7209529 7001289F:109:CB97UANXX:1:2102:13350:69400/2	R2	-	-	+	-	-	0.515789
ERR2061620.7209530 7001289F:103:C9WFLANXX:4:2306:13706:58551/1	R1	-	+	+	-	0.000000	0.486726
ERR2061620.7209531 7001289F:103:C9WFLANXX:4:2214:1925:92187/1	R1	-	+	-	-	0.320000	-
ERR2061620.7209532 7001289F:103:C9WFLANXX:3:1109:16473:84857/2	R2	-	-	+	-	-	0.500000
ERR2061620.7209534 7001289F:109:CB97UANXX:1:1210:6259:78250/1	R1	+	-	-	-	0.500000	-
ERR2061620.7209535 7001289F:103:C9WFLANXX:4:2104:10959:64938/1	R1	-	+	-	-	0.413793	-
ERR2061620.7209536 7001289F:109:CB97UANXX:1:1312:20539:48796/1	R1	+	-	-	-	0.330000	-
ERR2061620.7209537 7001289F:109:CB97UANXX:1:1104:20875:52438/1	R1	-	+	+	-	0.000000	0.932584
ERR2061620.7209538 7001289F:103:C9WFLANXX:3:2314:1319:32104/1	R1	+	-	-	-	0.863636	-
ERR2061620.7209539 7001289F:109:CB97UANXX:1:1101:21044:46732/1	R1	+	-	-	-	0.387755	-
ERR2061620.7209540 7001289F:109:CB97UANXX:1:1305:10947:7884/2	R2	-	-	+	-	-	0.863636
ERR2061620.7209541 7001289F:109:CB97UANXX:1:1307:14810:69958/1	R1	+	-	-	-	0.806452	-
ERR2061620.7209544 7001289F:103:C9WFLANXX:4:1311:3496:11741/2	R2	-	-	+	-	-	0.320388
ERR2061620.7209545 7001289F:109:CB97UANXX:1:2207:11911:90911/2	R2	-	-	+	-	-	0.320388
ERR2061620.7209546 7001289F:109:CB97UANXX:1:1209:3269:84473/1	R1	+	-	-	-	0.320388	-
ERR2061620.7209547 7001289F:109:CB97UANXX:1:1209:3532:20875/1	R1	-	+	+	-	0.000000	0.741071
ERR2061620.7209548 7001289F:103:C9WFLANXX:3:1115:17518:49754/1	R1	+	-	-	-	0.446429	-
ERR2061620.7209549 7001289F:103:C9WFLANXX:4:2110:16989:39417/1	R1	+	-	-	-	0.446429	-
ERR2061620.7209550 7001289F:103:C9WFLANXX:4:1114:13527:61081/1	R1	+	-	-	-	0.446429	-
ERR2061620.7209551 7001289F:109:CB97UANXX:1:1101:16705:16245/2	R2	-	-	+	-	-	0.446429
